u	v	score_16381	full_score	validation_score	role
-5037	2518	21.406454529954768	24.579966721480364	3.1735121915255959	candidate
-9587	9843	21.668965902960387	24.464691826082603	2.795725923122216	candidate
-6486	7309	21.643974609350895	24.249912257905052	2.605937648554157	candidate
-6568	9237	21.199833343361071	24.076717537996736	2.8768841946356645	candidate
-9687	3953	20.858745183016168	24.071897335952812	3.2131521529366438	candidate
-6612	2483	20.923938144881905	23.968095788991185	3.0441576441092799	candidate
5617	3057	21.051807763525591	23.952503597670809	2.9006958341452176	candidate
131	8131	21.176991302767362	23.910122769861257	2.7331314670938944	candidate
7047	2692	20.960925457515572	23.866510013512638	2.9055845559970663	candidate
-4674	5171	21.783020664018416	23.850553501942411	2.067532837923995	candidate
19	6934	21.097379793280876	23.813008023486301	2.7156282302054251	candidate
6693	7753	21.418265991063532	23.724077558678605	2.3058115676150734	candidate
-2318	4357	20.931116945088348	23.713654038742376	2.7825370936540281	candidate
6004	9029	21.266508301398222	23.702840437877761	2.4363321364795389	candidate
-437	9263	20.924913026233103	23.698132644870146	2.773219618637043	candidate
1611	1516	21.309092752564613	23.671308952927046	2.3622162003624325	candidate
-6465	379	20.831950284926396	23.644558754243018	2.812608469316622	candidate
-5612	1543	21.516699432669906	23.629901659295157	2.1132022266252513	candidate
-1949	6726	20.80143423146863	23.608396728254956	2.8069624967863263	candidate
-1077	4918	21.212954372228563	23.546736819124654	2.333782446896091	candidate
-8938	1307	20.986371271715587	23.54591022201333	2.5595389502977426	candidate
1156	5611	20.838223967367984	23.537827564439276	2.6996035970712917	candidate
-7323	6757	21.252763423241323	23.535804417716545	2.2830409944752219	candidate
1349	9589	21.124805252349603	23.504324567699214	2.3795193153496115	candidate
129	9367	21.044461476428303	23.465061801548888	2.420600325120585	candidate
-5758	6907	20.813713715652852	23.392916254538388	2.5792025388855357	candidate
-3263	2432	20.78311149083412	23.300807059761588	2.5176955689274685	candidate
7503	7373	21.009775507682534	23.297531276653629	2.2877557689710954	candidate
-713	537	21.19919877937842	23.284933140693322	2.085734361314902	candidate
-5237	5133	20.934508195109991	23.261632575109054	2.3271243799990629	candidate
9127	8192	20.95466132651632	23.260396585355227	2.305735258838908	candidate
-9817	2848	21.395270758104065	23.237474382968415	1.8422036248643501	candidate
8852	6397	20.854992356748838	23.235031930593014	2.3800395738441757	candidate
-4161	404	20.928516185774658	23.210502315245737	2.281986129471079	candidate
-5119	9006	20.836033263588185	23.185760129064366	2.3497268654761818	candidate
5569	2764	20.833635707826542	23.09746073779889	2.2638250299723488	candidate
2836	8551	20.796098002145008	23.052921989789994	2.2568239876449852	candidate
2199	9979	20.924934939682029	23.052273095377604	2.1273381556955755	candidate
8181	8839	20.819759898609316	23.01955579628957	2.1997958976802536	candidate
5371	3741	20.838529815760367	23.017558728358779	2.1790289125984117	candidate
-2813	9967	21.16740832649759	23.009961615239824	1.8425532887422342	candidate
4883	5378	21.043483007109536	22.99563413694688	1.9521511298373433	candidate
164518	924945	19.083155959369826	22.975687149061713	3.8925311896918871	published_record_control
-9549	2131	20.957615654038786	22.968042674049187	2.0104270200104004	candidate
1021	5091	21.074090181226005	22.945164786858982	1.8710746056329768	candidate
-8683	9697	20.84381526934434	22.939504325211484	2.0956890558671439	candidate
6304	4129	21.055377797222292	22.826972106721023	1.771594309498731	candidate
6763	5128	20.881308569082137	22.706157029283951	1.8248484602018138	candidate
-4363	4822	21.055320809459342	22.612924362995514	1.5576035535361719	candidate
